"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"11352","occ","","","653","Chagrinia sp.","genus","34906","","Chagrinia","genus","34906","Famennian","","372.15","358.86","61160","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Chagrinia","177"
"11353","occ","","","653","cf. Holoptychus sp.","genus","34929","","Holoptychus","genus","34929","Famennian","","372.15","358.86","61160","Chordata","Coelacanthimorpha","Coelacanthiformes","NO_FAMILY_SPECIFIED","Holoptychus","177"
"262177","occ","","","25325","cf. Mawsonia sp.","genus","68074","","Mawsonia","genus","68074","Early Cenomanian","","100.5","93.9","7098","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Mawsonia","117"
"283823","occ","","","26995","Actinistia indet.","class","67349","subjective synonym of","Coelacanthimorpha","class","219194","Norian","","227.3","205.7","7466","Chordata","Coelacanthimorpha","","","","136"
"290501","occ","","","27719","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Sinemurian","Pliensbachian","199.5","184.2","7620","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","43"
"293800","occ","","","28006","Holophagus ? leridae","species","34928","species not entered","Holophagus","genus","34928","Late Barremian","","125.77","121.4","7671","Chordata","Coelacanthimorpha","Coelacanthiformes","Latimeriidae","Holophagus","120"
"423231","occ","","","39219","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Norian","","227.3","205.7","11081","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","136"
"423255","occ","","","39160","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Norian","","227.3","205.7","11081","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","136"
"471960","occ","","","46897","Axelrodichthys sp.","genus","134537","","Axelrodichthys","genus","134537","Coniacian","Santonian","89.8","83.6","12460","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Axelrodichthys","39"
"483866","occ","","","48422","Chinlea sorenseni","species","249590","","Chinlea sorenseni","species","249590","Rhaetian","","205.7","201.4","43410","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Chinlea","135"
"487256","occ","","","13274","Mawsonia lavocati","species","320881","replaced by","Axelrodichthys lavocati","species","504270","Late Albian","Early Cenomanian","106.3","93.9","9649","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Axelrodichthys","14"
"513195","occ","","","39671","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Late Triassic","","237","201.4","13103","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","44"
"516606","occ","42312","","45726","Coelacanthiformes indet.","order","80820","","Coelacanthiformes","order","80820","Late Tithonian","Early Berriasian","145.06","141","91258","Chordata","Coelacanthimorpha","Coelacanthiformes","","","2"
"533569","occ","","","55209","Mawsonia gigas","species","68075","","Mawsonia gigas","species","68075","Berriasian","Barremian","143.1","121.4","14673","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Mawsonia","40"
"540247","occ","42269","","56365","Mawsonia gigas","species","68075","","Mawsonia gigas","species","68075","Cenomanian","","100.5","93.9","90885","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Mawsonia","117"
"566817","occ","","","59355","Mawsonia cf. gigas","species","68075","","Mawsonia gigas","species","68075","Early Cretaceous","Aptian","143.1","113.2","17005","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Mawsonia","40"
