"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"147938","occ","","","13064","n. gen. Basiloterus n. sp. hussaini","species","53165","","Basiloterus hussaini","species","53165","Bartonian","","41.2","37.71","6010","Chordata","Mammalia","Cetacea","Basilosauridae","Basiloterus","107"
"148363","occ","","","13102","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"148364","occ","","","13102","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"148365","occ","19615","","13103","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","10457","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"150827","occ","","","13103","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"150828","occ","","","13402","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"150829","occ","","","13402","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"150830","occ","","","13403","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"150831","occ","","","13403","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"150833","occ","","","13405","n. gen. Dorudon n. sp. serratus","species","53155","","Dorudon serratus","species","53155","Priabonian","","37.71","33.9","6032","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"300809","occ","","","28977","n. gen. Ancalecetus n. sp. simonsi","species","53295","","Ancalecetus simonsi","species","53295","Priabonian","","37.71","33.9","8325","Chordata","Mammalia","Cetacea","Basilosauridae","Ancalecetus","106"
"300826","occ","21194","","28983","n. gen. Alabamornis n. sp. gigantea","species","63086","subjective synonym of","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","11980","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"300827","occ","","","28983","Zygorhiza kochii","species","53292","","Zygorhiza kochii","species","63069","Priabonian","","37.71","33.9","8335","Chordata","Mammalia","Cetacea","Basilosauridae","Zygorhiza","106"
"348021","occ","","","32899","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","8811","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"348022","occ","","","32900","Zygorhiza ? sp.","genus","36872","","Zygorhiza","genus","36872","Bortonian","","42.6","39.1","8812","Chordata","Mammalia","Cetacea","Basilosauridae","Zygorhiza","37"
"348025","occ","","","32902","Basilosaurus cf. cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","36758","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"348031","occ","26299","","32908","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","39153","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"348032","occ","27385","","32908","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","42488","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"348038","occ","35067","","32915","Dorudontinae indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Bartonian","","41.2","37.71","10457","Chordata","Mammalia","Cetacea","Basilosauridae","","107"
"348039","occ","27384","","32916","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","42488","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"348041","occ","17986","","32918","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"348043","occ","","","32920","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","8825","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"348048","occ","","","32925","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12024","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"348049","occ","","","32926","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","8335","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"348397","occ","","","32990","Dorudontinae indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Priabonian","","37.71","33.9","8837","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"348400","occ","","","32992","Dorudon ? sp.","genus","36709","","Dorudon","genus","36709","Priabonian","","37.71","33.9","8840","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"348401","occ","37473","","32993","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Bartonian","","41.2","37.71","61627","Chordata","Mammalia","Cetacea","Basilosauridae","","107"
"384535","occ","","","28986","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","8335","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"400875","occ","","","7299","Eocetus n. sp. wardii","species","63151","recombined as","Pachycetus wardii","species","63151","Bartonian","","41.2","37.71","8810","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","107"
"462498","occ","27398","","45625","Dorudon sp.","genus","36709","","Dorudon","genus","36709","Bartonian","","41.2","37.71","42488","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","107"
"462507","occ","","","45627","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12017","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462508","occ","","","6802","n. gen. Cynthiacetus n. sp. maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"462509","occ","","","45628","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12018","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462675","occ","21543","","45041","Dorudon ? sp.","genus","36709","","Dorudon","genus","36709","Late Eocene","","37.71","33.9","29544","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"462676","occ","","","45629","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12023","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462677","occ","","","45630","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12023","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
