"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"262996","occ","","","25402","Thisbites sp.","genus","14424","","Thisbites","genus","14424","Lacian","Alaunian","227","213.2","7116","136"
"262998","occ","","","25402","Anatibetites magnus","species","312687","","Anatibetites magnus","species","312687","Lacian","Alaunian","227","213.2","7116","136"
"262999","occ","","","25402","Juvavites sp.","genus","14192","","Juvavites","genus","14192","Lacian","Alaunian","227","213.2","7116","136"
"263000","occ","","","25402","Paratibetites sp.","genus","101060","","Paratibetites","genus","101060","Lacian","Alaunian","227","213.2","7116","136"
"263001","occ","","","25402","Indojuvavites sp.","genus","14179","","Indojuvavites","genus","14179","Lacian","Alaunian","227","213.2","7116","136"
"263002","occ","","","25402","Metatibetites sp.","genus","14237","","Metatibetites","genus","14237","Lacian","Alaunian","227","213.2","7116","136"
"263003","occ","","","25402","Phormedites sp.","genus","14323","","Phormedites","genus","14323","Lacian","Alaunian","227","213.2","7116","136"
"263004","occ","","","25402","Xenodrepanites sp.","genus","14459","","Xenodrepanites","genus","14459","Lacian","Alaunian","227","213.2","7116","136"
"263005","occ","","","25402","Dittmarites sp.","genus","14105","","Dittmarites","genus","14105","Lacian","Alaunian","227","213.2","7116","136"
"263006","occ","","","25402","Drepanites sp.","genus","14108","","Drepanites","genus","14108","Lacian","Alaunian","227","213.2","7116","136"
"263152","occ","","","25405","Thisbites agricolae","species","278068","","Thisbites agricolae","species","278068","Carnian","","237","227","7116","137"
"263153","occ","","","25405","Indoclionites sp.","genus","101062","","Indoclionites","genus","101062","Carnian","","237","227","7116","137"
"263154","occ","","","25405","Discotropites cf. formosus","species","172782","","Discotropites formosus","species","172782","Carnian","","237","227","7116","137"
"263155","occ","","","25405","Anatomites sp.","genus","14020","","Anatomites","genus","14020","Carnian","","237","227","7116","137"
"263156","occ","","","25405","Bacchites sp.","genus","14051","","Bacchites","genus","14051","Carnian","","237","227","7116","137"
"263157","occ","","","25405","Juvavites sp.","genus","14192","","Juvavites","genus","14192","Carnian","","237","227","7116","137"
"263158","occ","","","25405","Protrachyceras sp.","genus","14357","","Protrachyceras","genus","14357","Carnian","","237","227","7116","137"
"263185","occ","","","25404","Xenodrepanites sp.","genus","14459","","Xenodrepanites","genus","14459","Carnian","","237","227","7116","137"
"263186","occ","","","25404","Discotropites cf. formosus","species","172782","","Discotropites formosus","species","172782","Carnian","","237","227","7116","137"
"263187","occ","","","25404","Thisbites sp.","genus","14424","","Thisbites","genus","14424","Carnian","","237","227","7116","137"
"263223","occ","","","25406","Dimorphites interruptus","species","14095","species not entered","Dimorphites","genus","14095","Tuvalian","Lacian","233.4","216.7","7116","44"
"263224","occ","","","25406","Parathisbites sp.","genus","14310","","Parathisbites","genus","14310","Tuvalian","Lacian","233.4","216.7","7116","44"
"263225","occ","","","25406","Thisbites agricolae","species","278068","","Thisbites agricolae","species","278068","Tuvalian","Lacian","233.4","216.7","7116","44"
"263226","occ","","","25406","Thisbites cf. ronaldshayi","species","312692","","Thisbites ronaldshayi","species","312692","Tuvalian","Lacian","233.4","216.7","7116","44"
"263227","occ","","","25406","Paratibetites sp.","genus","101060","","Paratibetites","genus","101060","Tuvalian","Lacian","233.4","216.7","7116","44"
"263228","occ","","","25406","Clionites sp.","genus","251140","replaced by","Clionitites","genus","14074","Tuvalian","Lacian","233.4","216.7","7116","44"
"263229","occ","","","25406","Discotropites empedoclis","species","172786","subjective synonym of","Discotropites plinii","species","265108","Tuvalian","Lacian","233.4","216.7","7116","44"
