"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"146879","occ","","","12976","Gnathorhiza dikeloda","species","120861","","Gnathorhiza dikeloda","species","120861","Kungurian","","283.3","274.4","4326","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","148"
"147467","occ","","","13040","Pentlandia glypta","species","377341","species not entered","Pentlandia","genus","377341","Silurian","Wenlock","443.1","426.7","4319","Chordata","Osteichthyes","Dipteriformes","Phaneropleuridae","Pentlandia","20"
"147993","occ","","","13069","Pentlandia glypta","species","377341","species not entered","Pentlandia","genus","377341","Silurian","Wenlock","443.1","426.7","4354","Chordata","Osteichthyes","Dipteriformes","Phaneropleuridae","Pentlandia","20"
"150602","occ","","","13345","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Late Albian","Early Turonian","106.3","89.8","5986","Chordata","Osteichthyes","Dipnoi","","","14"
"155626","occ","","","13845","Pentlandia sp.","genus","377341","","Pentlandia","genus","377341","Aeronian","","440.5","438.6","6160","Chordata","Osteichthyes","Dipteriformes","Phaneropleuridae","Pentlandia","190"
"220074","occ","21879","","22680","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Norian","","227.3","205.7","30215","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","136"
"220220","occ","","","22726","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Pendleian","","330.3","326.9","5931","Chordata","Osteichthyes","Dipnoi","","","53"
"259973","occ","","","25126","Ceratodus africanus","species","108906","recombined as","Neoceratodus africanus","species","108906","Early Cenomanian","","100.5","93.9","7053","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","117"
"260842","occ","36271","","25222","Ceratodus pectinatus","species","321103","","Ceratodus pectinatus","species","321103","Early Berriasian","Early Cenomanian","143.1","93.9","71151","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","14"
"262176","occ","","","25325","cf. Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Early Cenomanian","","100.5","93.9","7098","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","117"
"273945","occ","","","26179","Uranolophus wyomingense","species","34899","species not entered","Uranolophus","genus","34899","Early Devonian","","419.62","393.47","7258","Chordata","Osteichthyes","Dipnorhynchiformes","Uranolophidae","Uranolophus","58"
"276552","occ","","","26176","Uranolophus wyomingense","species","34899","species not entered","Uranolophus","genus","34899","Emsian","","410.62","393.47","7258","Chordata","Osteichthyes","Dipnorhynchiformes","Uranolophidae","Uranolophus","181"
"283822","occ","","","26995","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Norian","","227.3","205.7","7466","Chordata","Osteichthyes","Dipnoi","","","136"
"283937","occ","","","27005","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Alaunian","","215.38","211.18","7466","Chordata","Osteichthyes","Dipnoi","","","136"
"284152","occ","","","27017","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Valanginian","","137.05","132.6","2087","Chordata","Osteichthyes","Dipnoi","","","122"
"284795","occ","","","26904","Dipnorhynchus lehmanni","species","372967","","Dipnorhynchus lehmanni","species","372967","Early Emsian","","410.62","399.5","7445","Chordata","Osteichthyes","Dipnorhynchiformes","Dipnorhynchidae","Dipnorhynchus","181"
"289727","occ","","","14375","Ceratodus cf. americanus","species","57675","","Ceratodus americanus","species","57675","Late Aptian","Early Albian","119.57","110.1","56060","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","40"
"290384","occ","","","27704","Gnathorhiza n. sp. dikeloda","species","120861","","Gnathorhiza dikeloda","species","120861","Kungurian","","283.3","274.4","4326","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","148"
"290386","occ","","","27705","Gnathorhiza serrata","species","90710","","Gnathorhiza serrata","species","90710","Kungurian","","283.3","274.4","4326","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","148"
"290500","occ","","","27719","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Sinemurian","Pliensbachian","199.5","184.2","7620","Chordata","Osteichthyes","Dipnoi","","","43"
"342740","occ","","","32276","Dipterus cf. nelsoni","species","390818","","Dipterus nelsoni","species","390817","Late Famennian","","365.2","358.86","8688","Chordata","Osteichthyes","Dipteriformes","Dipteridae","Dipterus","177"
"378211","occ","","","35710","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Early Emsian","","410.62","399.5","9633","Chordata","Osteichthyes","Dipnoi","","","181"
"378324","occ","","","35711","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Early Emsian","","410.62","399.5","9633","Chordata","Osteichthyes","Dipnoi","","","181"
"378365","occ","","","35712","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Early Emsian","","410.62","399.5","9633","Chordata","Osteichthyes","Dipnoi","","","181"
"378389","occ","","","35749","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Early Emsian","","410.62","399.5","9633","Chordata","Osteichthyes","Dipnoi","","","181"
"391674","occ","","","37596","n. gen. Ferganoceratodus n. sp. jurassicus","species","197865","","Ferganoceratodus jurassicus","species","197865","Callovian","","165.3","161.5","41931","Chordata","Osteichthyes","Dipnoi","NO_FAMILY_SPECIFIED","Ferganoceratodus","127"
"391689","occ","","","37597","Ferganoceratodus jurassicus","species","197865","","Ferganoceratodus jurassicus","species","197865","Callovian","","165.3","161.5","10054","Chordata","Osteichthyes","Dipnoi","NO_FAMILY_SPECIFIED","Ferganoceratodus","127"
"401644","occ","","","38528","Gnathorhiza sp.","genus","90709","","Gnathorhiza","genus","90709","Olenekian","","249.9","246.7","10336","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","652"
"401716","occ","","","38538","Ceratodus n. sp. avus","species","152533","","Ceratodus avus","species","152533","Early Aptian","","121.4","119.57","30574","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","119"
"401721","occ","","","38540","Dipnoi indet.","order","377762","","Dipnoi","order","57668","Early Albian","","113.2","110.1","63316","Chordata","Osteichthyes","Dipnoi","","","118"
"401726","occ","","","38542","Ceratodontidae indet.","family","57670","","Ceratodontidae","family","57670","Early Albian","","113.2","110.1","19908","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","","118"
"402971","occ","","","38671","Ceratodus n. sp. humei","species","57230","","Ceratodus humei","species","57230","Campanian","","83.6","72.2","10375","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","113"
"403042","occ","","","38682","Protopterus humei","species","91689","recombined as","Ceratodus humei","species","57230","Campanian","Maastrichtian","83.6","66","19439","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","39"
"403153","occ","","","38682","Neoceratodus tuberculatus","species","194488","recombined as","Ceratodus tuberculatus","species","91692","Campanian","Maastrichtian","83.6","66","19439","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","39"
"405451","occ","","","38918","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Aptian","Albian","121.4","100.5","34396","Chordata","Osteichthyes","Dipnoi","","","40"
"407764","occ","","","39219","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Norian","","227.3","205.7","10591","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","136"
"408095","occ","","","28366","Ceratodus n. sp. guentheri","species","57674","","Ceratodus guentheri","species","57674","Late Kimmeridgian","Early Tithonian","152.21","145.06","41216","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","41"
"408096","occ","10700","","28366","Ceratodus n. sp. felchi","species","57673","","Ceratodus felchi","species","57673","Late Kimmeridgian","Early Tithonian","152.21","145.06","10654","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","41"
"408767","occ","","","12816","Ceratodus guentheri","species","57674","","Ceratodus guentheri","species","57674","Kimmeridgian","Tithonian","154.8","143.1","10654","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","41"
"409381","occ","","","39428","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Kimmeridgian","Tithonian","154.8","143.1","10663","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","41"
"409384","occ","","","39429","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Tithonian","","149.2","143.1","10663","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","124"
"409416","occ","","","39431","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Kimmeridgian","Tithonian","154.8","143.1","10663","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","41"
"410786","occ","","","39671","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Late Triassic","","237","201.4","13103","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","44"
"423254","occ","20971","","39160","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Norian","","227.3","205.7","12930","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","136"
"457562","occ","","","45087","Ceratodus iheringi","species","321108","recombined as","Atlantoceratodus iheringi","species","321108","Late Campanian","Early Maastrichtian","83.6","66","11738","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Atlantoceratodus","39"
"463347","occ","","","45726","Ptychoceratodontidae indet.","family","57671","","Ptychoceratodontidae","family","57671","Late Tithonian","Early Berriasian","145.06","141","12098","Chordata","Osteichthyes","Dipnoi","Ptychoceratodontidae","","2"
"467558","occ","","","46465","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Kimmeridgian","","154.8","149.2","12389","Chordata","Osteichthyes","Dipnoi","","","125"
"471962","occ","","","46897","Ceratodus madagascariensis","species","321109","","Ceratodus madagascariensis","species","321109","Coniacian","Santonian","89.8","83.6","12460","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","39"
"471967","occ","17916","","46888","Ceratodontidae indet.","family","57670","","Ceratodontidae","family","57670","Cenomanian","Campanian","100.5","72.2","17230","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","","39"
"474625","occ","","","47076","Ceratodus n. sp. szechuanensis","species","64290","recombined as","Ptychoceratodus szechuanensis","species","64290","Tithonian","","149.2","143.1","12540","Chordata","Osteichthyes","Dipnoi","Ptychoceratodontidae","Ptychoceratodus","124"
"479558","occ","","","47802","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Sevatian","","211.18","205.7","16924","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","136"
"481973","occ","","","48161","Ceratodus guentheri","species","57674","","Ceratodus guentheri","species","57674","Tithonian","","149.2","143.1","12893","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","124"
"486121","occ","","","36106","Ptychoceratodus phillipsi","species","194449","","Ptychoceratodus phillipsi","species","194448","Rhaetian","","205.7","201.4","12980","Chordata","Osteichthyes","Dipnoi","Ptychoceratodontidae","Ptychoceratodus","135"
"487132","occ","","","48831","Asiatoceratodus tiguidensis","species","65131","species not entered","Asiatoceratodus","genus","65131","Tithonian","","149.2","143.1","13013","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Asiatoceratodus","124"
"487139","occ","","","48832","Ceratodontidae indet.","family","57670","","Ceratodontidae","family","57670","Tithonian","","149.2","143.1","13013","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","","124"
"487153","occ","","","48841","Asiatoceratodus tiguidensis","species","65131","species not entered","Asiatoceratodus","genus","65131","Tithonian","","149.2","143.1","13013","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Asiatoceratodus","124"
"487233","occ","","","48867","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Late Coniacian","Santonian","89.8","83.6","13027","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","39"
"488646","occ","","","49097","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Middle Turonian","Late Turonian","93.9","89.8","13114","Chordata","Osteichthyes","Dipnoi","","","116"
"490802","occ","21981","","45975","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Late Kimmeridgian","Early Tithonian","152.21","145.06","13255","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","41"
"491063","occ","41359","","49557","Atlantoceratodus patagonicus","species","479469","","Atlantoceratodus patagonicus","species","479469","Late Campanian","Early Maastrichtian","83.6","66","86689","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Atlantoceratodus","39"
"491448","occ","","","39412","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Tithonian","","149.2","143.1","10638","Chordata","Osteichthyes","Dipnoi","","","124"
"498262","occ","","","50354","Ceratodus frazieri","species","57680","","Ceratodus frazieri","species","57680","Aptian","Early Albian","121.4","110.1","13525","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","40"
