"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"216","occ","","","78","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Desmoinesian","","312.7","305.9","12","27"
"283","occ","","","86","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Desmoinesian","","312.7","305.9","12","27"
"347","occ","","","94","Gonioglyphioceras sp.","genus","13729","","Gonioglyphioceras","genus","13729","Desmoinesian","","312.7","305.9","12","27"
"348","occ","","","94","Neodimorphoceras sp.","genus","13786","","Neodimorphoceras","genus","13786","Desmoinesian","","312.7","305.9","12","27"
"356","occ","","","95","Bisatoceras sp.","genus","13643","","Bisatoceras","genus","13643","Desmoinesian","","312.7","305.9","12","27"
"357","occ","","","95","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Desmoinesian","","312.7","305.9","12","27"
"358","occ","","","95","Maximites sp.","genus","13773","","Maximites","genus","13773","Desmoinesian","","312.7","305.9","12","27"
"607","occ","","","119","Bisatoceras sp.","genus","13643","","Bisatoceras","genus","13643","Missourian","","305.9","303.7","12","50"
"608","occ","","","119","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Missourian","","305.9","303.7","12","50"
"622","occ","","","120","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Missourian","","305.9","303.7","12","50"
"801","occ","","","143","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Missourian","","305.9","303.7","12","50"
"816","occ","","","144","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Missourian","","305.9","303.7","12","50"
"855","occ","","","149","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Missourian","","305.9","303.7","12","50"
"914","occ","","","155","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Missourian","","305.9","303.7","12","50"
"944","occ","","","157","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Carboniferous","","358.9","298.9","12","18"
"977","occ","","","159","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Carboniferous","","358.9","298.9","12","18"
"1028","occ","","","163","Glaphyrites sp.","genus","13723","","Glaphyrites","genus","13723","Carboniferous","","358.9","298.9","12","18"
"1125","occ","","","171","Eoasianites sp.","genus","13692","","Eoasianites","genus","13692","Missourian","","305.9","303.7","12","50"
