"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"2751","occ","","","297","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Rangerian","","470","469.1","25411","1079"
"2753","occ","","","297","Bactroceras sp.","genus","12332","","Bactroceras","genus","12332","Rangerian","","470","469.1","25411","1079"
"2977","occ","","","310","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Chazyan","","470","457","60945","21"
"3176","occ","","","318","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Middle Ordovician","","470","458.4","60945","30"
"3282","occ","","","324","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Blackriveran","","457","449.8","60987","29"
"3307","occ","","","325","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Blackriveran","","457","449.8","60987","29"
"3548","occ","","","333","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Middle Ordovician","","470","458.4","61112","30"
"4030","occ","","","353","Orthoceras sociale","species","291795","recombined as","Isorthoceras sociale","species","291795","Richmondian","","449.8","446","11633","1008"
"4072","occ","","","356","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Richmondian","","449.8","446","61105","1008"
"4377","occ","","","367","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Richmondian","","449.8","446","61146","1008"
"4378","occ","","","367","Isorthoceras ? sp.","genus","12524","","Isorthoceras","genus","12524","Richmondian","","449.8","446","61146","1008"
"4423","occ","","","368","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Richmondian","","449.8","446","61146","1008"
"4424","occ","","","368","Gorbyoceras sp.","genus","12513","","Gorbyoceras","genus","12513","Richmondian","","449.8","446","61146","1008"
"4425","occ","","","368","Isorthoceras sp.","genus","12524","","Isorthoceras","genus","12524","Richmondian","","449.8","446","61146","1008"
"4459","occ","","","369","Treptoceras transversum","species","103345","","Treptoceras transversum","species","103344","Edenian","","451.1","450.4","11467","1008"
"4472","occ","12761","","370","Treptoceras duseri","species","103338","","Treptoceras duseri","species","103336","Richmondian","","449.8","446","11467","1008"
"4484","occ","12766","","371","Treptoceras duseri","species","103338","","Treptoceras duseri","species","103336","Richmondian","","449.8","446","11467","1008"
"4540","occ","12732","","374","Gorbyoceras duncanae","species","12513","species not entered","Gorbyoceras","genus","12513","Richmondian","","449.8","446","11467","1008"
"4824","occ","","","383","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Edenian","","451.1","450.4","316","1008"
"4907","occ","","","384","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Edenian","","451.1","450.4","316","1008"
"4987","occ","","","385","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Edenian","","451.1","450.4","316","1008"
"4988","occ","","","385","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Edenian","","451.1","450.4","316","1008"
"5045","occ","","","386","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Edenian","","451.1","450.4","316","1008"
"5046","occ","","","386","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Edenian","","451.1","450.4","316","1008"
"5115","occ","","","387","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Maysvillian","","450.4","449.8","316","1008"
"5224","occ","","","388","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Maysvillian","","450.4","449.8","316","1008"
"5305","occ","","","389","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Maysvillian","Ashgill","450.4","443.8","316","29"
"5401","occ","","","390","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Maysvillian","Ashgill","450.4","443.8","316","29"
"5462","occ","","","391","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Maysvillian","","450.4","449.8","316","1008"
"5589","occ","","","392","Gorbyoceras sp.","genus","12513","","Gorbyoceras","genus","12513","Richmondian","Ashgill","449.8","443.8","316","29"
"5592","occ","","","392","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Richmondian","Ashgill","449.8","443.8","316","29"
"5598","occ","","","392","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Richmondian","Ashgill","449.8","443.8","316","29"
"5668","occ","","","393","Anaspyroceras sp.","genus","12450","","Anaspyroceras","genus","12450","Richmondian","Ashgill","449.8","443.8","316","29"
"5673","occ","","","393","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Richmondian","Ashgill","449.8","443.8","316","29"
"5676","occ","","","393","Treptoceras sp.","genus","103258","","Treptoceras","genus","103258","Richmondian","Ashgill","449.8","443.8","316","29"
"5775","occ","","","394","Anaspyroceras sp.","genus","12450","","Anaspyroceras","genus","12450","Richmondian","Ashgill","449.8","443.8","316","29"
"5780","occ","","","394","Gorbyoceras sp.","genus","12513","","Gorbyoceras","genus","12513","Richmondian","Ashgill","449.8","443.8","316","29"
"5784","occ","","","394","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Richmondian","Ashgill","449.8","443.8","316","29"
"5788","occ","","","394","Rasmussenoceras sp.","genus","12587","","Rasmussenoceras","genus","12587","Richmondian","Ashgill","449.8","443.8","316","29"
