"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"104902","occ","","","8229","Rhizodopsis sp.","genus","260154","","Rhizodopsis","genus","260154","Westphalian","Vereian","318.7","313.8","563","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","27"
"149739","occ","","","13257","aff. Ectosteorhachis nitidus","species","90695","","Ectosteorhachis nitidus","species","90695","Asselian","Sakmarian","298.9","290.1","4394","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Ectosteorhachis","773"
"149832","occ","","","13258","aff. Ectosteorhachis nitidus","species","90695","","Ectosteorhachis nitidus","species","90695","Asselian","Sakmarian","298.9","290.1","4394","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Ectosteorhachis","773"
"568160","occ","","","59674","n. gen. Tiktaalik n. sp. roseae","species","77136","","Tiktaalik roseae","species","77136","Frasnian","","382.31","372.15","17081","Chordata","Osteichthyes","Osteolepiformes","Panderichthyidae","Tiktaalik","178"
"631436","occ","","","67945","Ectosteorhachis cf. nitidus","species","90695","","Ectosteorhachis nitidus","species","90695","Kungurian","","283.3","274.4","19411","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Ectosteorhachis","148"
"821019","occ","","","90343","Panderichthys sp.","genus","34944","","Panderichthys","genus","34944","Early Frasnian","","382.31","379","30343","Chordata","Osteichthyes","Osteolepiformes","Panderichthyidae","Panderichthys","178"
"1070335","occ","","","132654","Thursius ? n. sp. clappi","species","245653","","Thursius clappi","species","245653","Frasnian","","382.31","372.15","42726","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","178"
"1106839","occ","","","140035","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Moscovian","","315.2","307","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","51"
"1107585","occ","","","137310","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Moscovian","","315.2","307","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","51"
"1107586","occ","","","137319","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Moscovian","","315.2","307","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","51"
"1107587","occ","","","137315","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Moscovian","Kasimovian","315.2","303.7","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","27"
"1107588","occ","","","140139","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Moscovian","","315.2","307","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","51"
"1107589","occ","","","140140","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Moscovian","","315.2","307","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","51"
"1107590","occ","","","140141","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Moscovian","","315.2","307","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","51"
"1107591","occ","","","140142","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Moscovian","","315.2","307","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","51"
"1107592","occ","","","137307","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Pennsylvanian","","323.4","298.9","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","27"
"1107593","occ","","","140143","Rhizodopsis sauroides","species","419114","","Rhizodopsis sauroides","species","419114","Moscovian","","315.2","307","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","51"
"1107594","occ","","","140144","Rhizodopsis n. sp. robusta","species","260261","","Rhizodopsis robusta","species","260261","Moscovian","","315.2","307","38758","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","51"
"1330693","occ","","","179176","n. gen. Elpistostege n. sp. watsoni","species","341858","","Elpistostege watsoni","species","341858","Frasnian","","382.31","372.15","59305","Chordata","Osteichthyes","Osteolepiformes","Panderichthyidae","Elpistostege","178"
"1340023","occ","","","180990","Ectosteorhachis sp.","genus","34916","","Ectosteorhachis","genus","34916","Leonardian","","286","274.4","28557","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Ectosteorhachis","773"
"1417838","occ","","","196360","n. gen. Hyneria n. sp. lindae","species","377247","","Hyneria lindae","species","377247","Famennian","","372.15","358.86","66766","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Hyneria","177"
"1421003","occ","","","197229","n. gen. Langlieria n. sp. socqueti","species","378348","","Langlieria socqueti","species","378348","Late Famennian","","365.2","358.86","67209","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","Langlieria","177"
"1421111","occ","","","179176","Eusthenopteron foordi","species","229325","corrected to","Eusthenopteron foordii","species","229325","Frasnian","","382.31","372.15","67239","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenopteron","178"
"1488015","occ","","","207070","Eusthenopteridae indet.","family","401830","","Eusthenopteridae","family","401830","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","","179"
"1488017","occ","","","207076","n. gen. Platyethmoidia n. sp. antarctica","species","401826","","Platyethmoidia antarctica","species","401826","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Platyethmoidia","179"
"1488018","occ","","","207077","n. gen. Mahalalepis n. sp. resima","species","401824","","Mahalalepis resima","species","401824","Emsian","Givetian","410.62","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Mahalalepis","19"
"1488021","occ","","","207078","Eusthenopteridae indet.","family","401830","","Eusthenopteridae","family","401830","Emsian","Givetian","410.62","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","","19"
"1488022","occ","","","207079","n. gen. Vorobjevaia n. sp. dolonodon","species","401828","","Vorobjevaia dolonodon","species","401828","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Vorobjevaia","179"
"1488023","occ","","","207080","n. gen. Notorhizodon n. sp. mackelveyi","species","401829","","Notorhizodon mackelveyi","species","401829","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Notorhizodon","179"
"1488029","occ","","","207086","n. gen. Notorhizodon n. sp. mackelveyi","species","401829","","Notorhizodon mackelveyi","species","401829","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Notorhizodon","179"
"1488030","occ","","","207087","n. gen. Notorhizodon n. sp. mackelveyi","species","401829","","Notorhizodon mackelveyi","species","401829","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Notorhizodon","179"
"1488031","occ","","","207088","n. gen. Notorhizodon n. sp. mackelveyi","species","401829","","Notorhizodon mackelveyi","species","401829","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Notorhizodon","179"
"1488038","occ","","","207098","n. gen. Platyethmoidia n. sp. antarctica","species","401826","","Platyethmoidia antarctica","species","401826","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Platyethmoidia","179"
"1488039","occ","","","207098","Eusthenopteridae indet.","family","401830","","Eusthenopteridae","family","401830","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","","179"
