"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"300810","occ","","","28978","n. gen. Pakicetus n. sp. inachus","species","53310","","Pakicetus inachus","species","53310","Lutetian","","47.8","41.2","8326","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus","108"
"461455","occ","","","45529","n. gen. Ichthyolestes n. sp. pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.2","11944","Chordata","Mammalia","Cetacea","Pakicetidae","Ichthyolestes","108"
"462021","occ","","","45584","n. gen. Himalayacetus n. sp. subathuensis","species","63094","","Himalayacetus subathuensis","species","63094","Ypresian","","56","47.8","11985","Chordata","Mammalia","Cetacea","Pakicetidae","Himalayacetus","109"
"462050","occ","","","45529","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Lutetian","","47.8","41.2","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus","108"
"462051","occ","","","45586","n. gen. Nalacetus n. sp. ratimitus","species","63098","","Nalacetus ratimitus","species","63098","Lutetian","","47.8","41.2","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Nalacetus","108"
"462052","occ","15613","","45586","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Lutetian","","47.8","41.2","8326","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus","108"
"462053","occ","","","45586","Pakicetus inachus","species","53310","","Pakicetus inachus","species","53310","Lutetian","","47.8","41.2","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus","108"
"462054","occ","","","45587","Ichthyolestes pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.2","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Ichthyolestes","108"
"462056","occ","","","28978","Ichthyolestes pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.2","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Ichthyolestes","108"
"462510","occ","","","45586","Ichthyolestes pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.2","12002","Chordata","Mammalia","Cetacea","Pakicetidae","Ichthyolestes","108"
"462621","occ","11943","","45588","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Ypresian","","56","47.8","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus","109"
"843013","occ","","","93595","Pakicetus n. sp. calcis","species","69726","","Pakicetus calcis","species","69726","Lutetian","","47.8","41.2","31707","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus","108"
"843018","occ","","","93595","Pakicetus n. sp. chittas","species","69734","","Pakicetus chittas","species","69734","Lutetian","","47.8","41.2","31707","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus","108"
"843019","occ","","","93595","Nalacetus ratimitus","species","63098","","Nalacetus ratimitus","species","63098","Lutetian","","47.8","41.2","31707","Chordata","Mammalia","Cetacea","Pakicetidae","Nalacetus","108"
"856568","occ","36244","","49002","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Lutetian","","47.8","41.2","12003","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus","108"
