"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"68135","occ","","","4868","n. gen. Georgiacetus n. sp. vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.2","289","Chordata","Mammalia","Cetacea","Protocetidae","Georgiacetus","108"
"150826","occ","","","11596","Basilosaurus n. sp. drazindai","species","53163","recombined as","Eocetus drazindai","species","53163","Bartonian","","41.2","37.71","6010","Chordata","Mammalia","Cetacea","Protocetidae","Eocetus","107"
"300803","occ","","","28972","n. gen. Takracetus n. sp. simus","species","53298","","Takracetus simus","species","53298","Lutetian","","47.8","41.2","7939","Chordata","Mammalia","Cetacea","Protocetidae","Takracetus","108"
"300804","occ","","","28973","Rodhocetus kasrani","species","53296","corrected to","Rodhocetus kasranii","species","53296","Lutetian","","47.8","41.2","7939","Chordata","Mammalia","Cetacea","Protocetidae","Rodhocetus","108"
"300805","occ","","","28974","n. gen. Gaviacetus n. sp. razai","species","53299","","Gaviacetus razai","species","53299","Lutetian","","47.8","41.2","7939","Chordata","Mammalia","Cetacea","Protocetidae","Gaviacetus","108"
"300807","occ","","","28975","n. gen. Rodhocetus n. sp. kasrani","species","53296","corrected to","Rodhocetus kasranii","species","53296","Lutetian","","47.8","41.2","8323","Chordata","Mammalia","Cetacea","Protocetidae","Rodhocetus","108"
"300808","occ","","","28976","Indocetus ramani","species","53308","","Indocetus ramani","species","53308","Lutetian","","47.8","41.2","8324","Chordata","Mammalia","Cetacea","Protocetidae","Indocetus","108"
"300812","occ","","","28980","Babiacetus indicus","species","53314","","Babiacetus indicus","species","53314","Bartonian","","41.2","37.71","8327","Chordata","Mammalia","Cetacea","Protocetidae","Babiacetus","107"
"300813","occ","","","28981","n. gen. Artiocetus n. sp. clavis","species","53317","","Artiocetus clavis","species","53317","Lutetian","","47.8","41.2","8328","Chordata","Mammalia","Cetacea","Protocetidae","Artiocetus","108"
"300814","occ","","","28981","Rodhocetus n. sp. balochistanensis","species","53318","","Rodhocetus balochistanensis","species","53318","Lutetian","","47.8","41.2","8328","Chordata","Mammalia","Cetacea","Protocetidae","Rodhocetus","108"
"348023","occ","15644","","32901","Georgiacetus cf. vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.2","289","Chordata","Mammalia","Cetacea","Protocetidae","Georgiacetus","108"
"348026","occ","","","32903","n. gen. Natchitochia n. sp. jonesi","species","53998","","Natchitochia jonesi","species","53998","Bartonian","","41.2","37.71","8815","Chordata","Mammalia","Cetacea","Protocetidae","Natchitochia","107"
"348028","occ","","","32905","Pappocetus lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.2","37.71","8817","Chordata","Mammalia","Cetacea","Protocetidae","Pappocetus","107"
"348029","occ","","","32906","n. gen. Pappocetus n. sp. lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.2","37.71","8818","Chordata","Mammalia","Cetacea","Protocetidae","Pappocetus","107"
"348044","occ","27547","","32921","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","43076","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"348399","occ","29573","","32991","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.2","49848","Chordata","Mammalia","Cetacea","Protocetidae","","108"
"462063","occ","","","45590","n. gen. Indocetus n. sp. ramani","species","53308","","Indocetus ramani","species","53308","Lutetian","","47.8","41.2","11991","Chordata","Mammalia","Cetacea","Protocetidae","Indocetus","108"
"462077","occ","","","45592","n. gen. Babiacetus n. sp. indicus","species","53314","","Babiacetus indicus","species","53314","Lutetian","","47.8","41.2","11993","Chordata","Mammalia","Cetacea","Protocetidae","Babiacetus","108"
"462119","occ","","","45592","Babiacetus n. sp. mishrai","species","63126","","Babiacetus mishrai","species","63126","Lutetian","","47.8","41.2","11997","Chordata","Mammalia","Cetacea","Protocetidae","Babiacetus","108"
"462339","occ","","","45590","Gaviacetus n. sp. sahnii","species","63127","recombined as","Kharodacetus sahnii","species","63127","Lutetian","","47.8","41.2","11997","Chordata","Mammalia","Cetacea","Protocetidae","Kharodacetus","108"
"462343","occ","","","45592","Gaviacetus sahnii","species","63127","recombined as","Kharodacetus sahnii","species","63127","Lutetian","","47.8","41.2","11997","Chordata","Mammalia","Cetacea","Protocetidae","Kharodacetus","108"
"462496","occ","","","45623","n. gen. Qaisracetus n. sp. arifi","species","53243","","Qaisracetus arifi","species","53243","Lutetian","","47.8","41.2","7933","Chordata","Mammalia","Cetacea","Protocetidae","Qaisracetus","108"
"462497","occ","","","45624","Qaisracetus arifi","species","53243","","Qaisracetus arifi","species","53243","Lutetian","","47.8","41.2","7933","Chordata","Mammalia","Cetacea","Protocetidae","Qaisracetus","108"
"462499","occ","","","45626","n. gen. Mesocetus n. sp. schweinfurthi","species","62992","recombined as","Eocetus schweinfurthi","species","62991","Bartonian","","41.2","37.71","11953","Chordata","Mammalia","Cetacea","Protocetidae","Eocetus","107"
"463785","occ","41960","","45817","Togocetus aff. traversei","species","287438","","Togocetus traversei","species","287438","Lutetian","","47.8","41.2","89517","Chordata","Mammalia","Cetacea","Protocetidae","Togocetus","108"
"474636","occ","26030","","47079","n. gen. Aegyptocetus n. sp. tarfa","species","205440","","Aegyptocetus tarfa","species","205440","Bartonian","","41.2","37.71","38487","Chordata","Mammalia","Cetacea","Protocetidae","Aegyptocetus","107"
"540939","occ","","","28981","n. gen. Makracetus n. sp. bidens","species","68779","obsolete variant of","Makaracetus bidens","species","68779","Lutetian","","47.8","41.2","15226","Chordata","Mammalia","Cetacea","Protocetidae","Makaracetus","108"
"604283","occ","","","64351","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.2","18563","Chordata","Mammalia","Cetacea","Protocetidae","","108"
"720756","occ","20170","","77352","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","42488","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"740456","occ","29576","","32991","Togocetus traversi","species","287437","species not entered","Togocetus","genus","287437","Lutetian","","47.8","41.2","49848","Chordata","Mammalia","Cetacea","Protocetidae","Togocetus","108"
"740966","occ","23261","","79672","Protocetidae ? indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.2","33106","Chordata","Mammalia","Cetacea","Protocetidae","","108"
"740969","occ","27979","","79675","Protocetidae ? indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","33106","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"780514","occ","","","83980","Georgiacetus vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.2","28136","Chordata","Mammalia","Cetacea","Protocetidae","Georgiacetus","108"
"780515","occ","","","83980","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.2","28136","Chordata","Mammalia","Cetacea","Protocetidae","","108"
"780516","occ","","","83981","Georgiacetus vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Bartonian","","41.2","37.71","28136","Chordata","Mammalia","Cetacea","Protocetidae","Georgiacetus","107"
"785974","occ","","","58456","n. gen. Protocetus n. sp. atavus","species","62989","","Protocetus atavus","species","62989","Lutetian","","47.8","41.2","11953","Chordata","Mammalia","Cetacea","Protocetidae","Protocetus","108"
"874792","occ","","","96948","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.2","33106","Chordata","Mammalia","Cetacea","Protocetidae","","108"
"874794","occ","","","96951","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","33106","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"990502","occ","31183","","119431","Natchitochia jonesi","species","53998","","Natchitochia jonesi","species","53998","Bartonian","","41.2","37.71","53632","Chordata","Mammalia","Cetacea","Protocetidae","Natchitochia","107"
"990503","occ","","","119432","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","42874","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"1038072","occ","","","127117","n. gen. Crenatocetus n. sp. rayi","species","134305","","Crenatocetus rayi","species","134305","Middle Eocene","","47.8","37.71","28282","Chordata","Mammalia","Cetacea","Protocetidae","Crenatocetus","37"
"1070169","occ","","","132627","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.2","42488","Chordata","Mammalia","Cetacea","Protocetidae","","108"
"1076306","occ","","","134300","n. gen. Carolinacetus n. sp. gingerichi","species","66904","","Carolinacetus gingerichi","species","66904","Bartonian","","41.2","37.71","14111","Chordata","Mammalia","Cetacea","Protocetidae","Carolinacetus","107"
"1116241","occ","","","107512","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","46004","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"1164441","occ","","","28981","n. gen. Maiacetus n. sp. inuus","species","140884","","Maiacetus inuus","species","140884","Lutetian","","47.8","41.2","29131","Chordata","Mammalia","Cetacea","Protocetidae","Maiacetus","108"
"1190508","occ","","","134300","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","43076","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"1190953","occ","","","32991","n. gen. Togocetus n. sp. traversei","species","287438","","Togocetus traversei","species","287438","Lutetian","","47.8","41.2","49848","Chordata","Mammalia","Cetacea","Protocetidae","Togocetus","108"
"1240531","occ","","","45592","Indocetus ramani","species","53308","","Indocetus ramani","species","53308","Lutetian","","47.8","41.2","53253","Chordata","Mammalia","Cetacea","Protocetidae","Indocetus","108"
"1240533","occ","","","163465","n. gen. Dhedacetus n. sp. hyaeni","species","308496","","Dhedacetus hyaeni","species","308496","Lutetian","","47.8","41.2","53253","Chordata","Mammalia","Cetacea","Protocetidae","Dhedacetus","108"
"1246929","occ","36283","","164491","n. gen. Aegicetus n. sp. gehennae","species","401056","","Aegicetus gehennae","species","401056","Priabonian","","37.71","33.9","71231","Chordata","Mammalia","Cetacea","Protocetidae","Aegicetus","106"
"1248296","occ","35943","","133429","cf. Carolinacetus sp.","genus","66903","","Carolinacetus","genus","66903","Lutetian","","47.8","41.2","70073","Chordata","Mammalia","Cetacea","Protocetidae","Carolinacetus","108"
"1309637","occ","","","175734","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","57556","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"1309638","occ","","","175734","Pappocetus lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.2","37.71","57556","Chordata","Mammalia","Cetacea","Protocetidae","Pappocetus","107"
"1309641","occ","","","175734","Eocetus schweinfurthi","species","53994","","Eocetus schweinfurthi","species","62991","Bartonian","","41.2","37.71","57556","Chordata","Mammalia","Cetacea","Protocetidae","Eocetus","107"
"1365707","occ","","","32991","Carolinacetus ? sp.","genus","66903","","Carolinacetus","genus","66903","Lutetian","","47.8","41.2","62390","Chordata","Mammalia","Cetacea","Protocetidae","Carolinacetus","108"
"1403721","occ","","","28976","Rodhocetus kasrani","species","53296","corrected to","Rodhocetus kasranii","species","53296","Lutetian","","47.8","41.2","7939","Chordata","Mammalia","Cetacea","Protocetidae","Rodhocetus","108"
"1436950","occ","","","200440","n. gen. Peregocetus n. sp. pacificus","species","384283","","Peregocetus pacificus","species","384283","Lutetian","","47.8","41.2","34992","Chordata","Mammalia","Cetacea","Protocetidae","Peregocetus","108"
"1476477","occ","","","206017","Pappocetus lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.2","37.71","70668","Chordata","Mammalia","Cetacea","Protocetidae","Pappocetus","107"
"1476478","occ","","","206017","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","70668","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"1476492","occ","","","206019","Pappocetus lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.2","37.71","70669","Chordata","Mammalia","Cetacea","Protocetidae","Pappocetus","107"
"1476495","occ","","","206019","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","70669","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"1476500","occ","","","206021","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Priabonian","","37.71","33.9","70671","Chordata","Mammalia","Cetacea","Protocetidae","","106"
"1487006","occ","","","134300","n. gen. Tupelocetus n. sp. palmeri","species","383964","","Tupelocetus palmeri","species","383964","Bartonian","","41.2","37.71","25738","Chordata","Mammalia","Cetacea","Protocetidae","Tupelocetus","107"
"1487773","occ","","","137544","Aegicetus gehennae","species","401056","","Aegicetus gehennae","species","401056","Priabonian","","37.71","33.9","71231","Chordata","Mammalia","Cetacea","Protocetidae","Aegicetus","106"
"1514292","occ","","","211299","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.2","37.71","72958","Chordata","Mammalia","Cetacea","Protocetidae","","107"
"1570746","occ","","","221850","n. gen. Phiomicetus n. sp. anubis","species","441449","","Phiomicetus anubis","species","441449","Lutetian","","47.8","41.2","77794","Chordata","Mammalia","Cetacea","Protocetidae","Phiomicetus","108"
"1655944","occ","","","235060","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.2","88521","Chordata","Mammalia","Cetacea","Protocetidae","","108"
"1655945","occ","","","235060","Pappocetus lugardi","species","53999","","Pappocetus lugardi","species","53999","Lutetian","","47.8","41.2","88521","Chordata","Mammalia","Cetacea","Protocetidae","Pappocetus","108"
"1655949","occ","","","235062","Eocetus schweinfurthi","species","53994","","Eocetus schweinfurthi","species","62991","Bartonian","","41.2","37.71","88521","Chordata","Mammalia","Cetacea","Protocetidae","Eocetus","107"
"1655952","occ","","","235061","Eocetus schweinfurthi","species","53994","","Eocetus schweinfurthi","species","62991","Bartonian","","41.2","37.71","88521","Chordata","Mammalia","Cetacea","Protocetidae","Eocetus","107"
