"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"300637","occ","","","28938","Andrewsiphius sloani","species","63152","","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","7933","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"300638","occ","","","28938","Remingtonocetus domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.2","7933","Chordata","Mammalia","Cetacea","Remingtonocetidae","Remingtonocetus","108"
"300639","occ","","","28938","Dalanistes ahmedi","species","53241","","Dalanistes ahmedi","species","53241","Lutetian","","47.8","41.2","7933","Chordata","Mammalia","Cetacea","Remingtonocetidae","Dalanistes","108"
"300806","occ","","","28974","n. gen. Dalanistes n. sp. ahmedi","species","53241","","Dalanistes ahmedi","species","53241","Lutetian","","47.8","41.2","7939","Chordata","Mammalia","Cetacea","Remingtonocetidae","Dalanistes","108"
"400874","occ","29218","","28975","Remingtonocetus domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.2","7933","Chordata","Mammalia","Cetacea","Remingtonocetidae","Remingtonocetus","108"
"440389","occ","","","43029","Protocetus n. sp. sloani","species","63120","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","11408","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"461398","occ","","","45524","n. gen. Attockicetus n. sp. praecursor","species","62970","","Attockicetus praecursor","species","62970","Lutetian","","47.8","41.2","11942","Chordata","Mammalia","Cetacea","Remingtonocetidae","Attockicetus","108"
"462022","occ","","","45583","n. gen. Kutchicetus n. sp. minimus","species","63096","","Kutchicetus minimus","species","63096","Lutetian","","47.8","41.2","11985","Chordata","Mammalia","Cetacea","Remingtonocetidae","Kutchicetus","108"
"462064","occ","","","45590","Protocetus sloani","species","63120","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","11991","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"462065","occ","11942","","45590","Remingtonocetus harudiensis","species","63122","","Remingtonocetus harudiensis","species","53238","Lutetian","","47.8","41.2","11997","Chordata","Mammalia","Cetacea","Remingtonocetidae","Remingtonocetus","108"
"462066","occ","","","45590","n. gen. Andrewsiphius n. sp. minor","species","63121","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","11991","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"462073","occ","","","45591","n. gen. Andrewsiphius n. sp. kutchensis","species","53236","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","11991","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"462340","occ","","","45590","Andrewsiphius kutchensis","species","53236","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","11997","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"462341","occ","","","45592","Remingtonocetus sloani","species","63125","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","11997","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"462342","occ","","","45592","Andrewsiphius kutchensis","species","53236","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","11997","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"462495","occ","","","45623","Remingtonocetus n. sp. domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.2","7933","Chordata","Mammalia","Cetacea","Remingtonocetidae","Remingtonocetus","108"
"703468","occ","22092","","48074","Kutchicetus minimus","species","63096","","Kutchicetus minimus","species","63096","Bartonian","","41.2","37.71","30795","Chordata","Mammalia","Cetacea","Remingtonocetidae","Kutchicetus","107"
"813748","occ","","","45592","Dalanistes ahmedi","species","53241","","Dalanistes ahmedi","species","53241","Lutetian","","47.8","41.2","30030","Chordata","Mammalia","Cetacea","Remingtonocetidae","Dalanistes","108"
"829246","occ","","","91427","Andrewsiphius sloani","species","63152","","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","30795","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"829247","occ","","","45583","Andrewsiphius sloani","species","63152","","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","30795","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"829248","occ","","","88644","Andrewsiphius sloani","species","63152","","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","30795","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"829249","occ","","","48074","Andrewsiphius sloani","species","63152","","Andrewsiphius sloani","species","63120","Bartonian","","41.2","37.71","30795","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","107"
"829250","occ","","","91428","Andrewsiphius sloani","species","63152","","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","30795","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"829251","occ","","","91429","Andrewsiphius sloani","species","63152","","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.2","30795","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius","108"
"829252","occ","","","45592","Kutchicetus minimus","species","63096","","Kutchicetus minimus","species","63096","Lutetian","","47.8","41.2","30795","Chordata","Mammalia","Cetacea","Remingtonocetidae","Kutchicetus","108"
"829253","occ","","","91427","Kutchicetus minimus","species","63096","","Kutchicetus minimus","species","63096","Lutetian","","47.8","41.2","30795","Chordata","Mammalia","Cetacea","Remingtonocetidae","Kutchicetus","108"
"843020","occ","","","93595","cf. Attockicetus sp.","genus","62969","","Attockicetus","genus","62969","Lutetian","","47.8","41.2","31707","Chordata","Mammalia","Cetacea","Remingtonocetidae","Attockicetus","108"
"1038779","occ","","","127196","Remingtonocetus domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.2","41379","Chordata","Mammalia","Cetacea","Remingtonocetidae","Remingtonocetus","108"
